,Productioncompany ,Release date,Running time,Country,Language,Box office,Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Screenplay by,Productioncompanies 
Academy Award Review of Walt Disney Cartoons,Walt Disney Productions,"['May\xa019,\xa01937\xa0(1937-05-19)']",41 minutes (74 minutes 1966 release),United States,English,$45.472,,,,,,,,,,,,,,
Snow White and the Seven Dwarfs,Walt Disney Productions,"['December\xa021,\xa01937\xa0(1937-12-21) (Carthay Circle Theatre, Los Angeles, CA)', 'February\xa04,\xa01938\xa0(1938-02-04) (United States)']",83 minutes,United States,English,$418 million[2],"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']",Snow Whiteby The Brothers Grimm,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,$1.49 million[1],,,,,,
Pinocchio,Walt Disney Productions,"['February\xa07,\xa01940\xa0(1940-02-07) (Center Theatre)[1]', 'February\xa023,\xa01940\xa0(1940-02-23) (United States)[2]']",88 minutes,United States,English,$164 million,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,,The Adventures of Pinocchioby Carlo Collodi,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,$2.6 million[3],"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,
Fantasia,Walt Disney Productions,"['November\xa013,\xa01940\xa0(1940-11-13)']",126 minutes[1],United States,English,$76.4–$83.3 million[4][5],"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",,,"['Leopold Stokowski', 'Deems Taylor']",See program,"['Walt Disney Productions', 'RKO Radio Pictures']",$2.28 million[2][3],"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,,,
The Reluctant Dragon,Walt Disney Productions,"['June\xa020,\xa01941\xa0(1941-06-20)[1]']",74 minutes,United States,English,"$960,000 (worldwide rentals) [3]","Alfred Werker (live action)Hamilton Luske (animation)Jack Cutting, Ub Iwerks, Jack Kinney (sequence directors)",Walt Disney,Live-action:Ted SearsAl PerkinsLarry ClemmonsBill CottrellHarry ClorkRobert Benchley The Reluctant Dragon segment:Kenneth Grahame (original book)Erdman PennerT. HeeBaby Weems segment:Joe GrantDick HuemerJohn Miller,,Robert BenchleyFrances GiffordBuddy PepperNana Bryant,Frank ChurchillLarry Morey,RKO Radio Pictures,"$600,000[2]",,,Bert Giennon,Paul Weatherwax,,
Dumbo,Walt Disney Productions,"['October\xa023,\xa01941\xa0(1941-10-23) (New York City)[1]', 'October\xa031,\xa01941\xa0(1941-10-31) (U.S.)']",64 minutes,United States,English,"$1.3 million (est. United States/Canada rentals, 1941)[3]",Supervising director:Ben SharpsteenSequence directors:Norman FergusonWilfred JacksonBill RobertsJack KinneySamuel Armstrong,Walt Disney,,"Dumbo, the Flying Elephantby Helen AbersonHarold Pearl",Edward BrophyHerman BingMargaret WrightSterling HollowayVerna FeltonCliff EdwardsJames BaskettNick StewartHall JohnsonJim Carmichael,Frank ChurchillOliver Wallace,RKO Radio Pictures,"$950,000[2]",Otto EnglanderJoe GrantDick Huemer,John McLeish,,,,
Bambi,Walt Disney Productions,"['August\xa09,\xa01942\xa0(1942-08-09) (World Premiere-London)', 'August\xa013,\xa01942\xa0(1942-08-13) (Premiere-New York City)', 'August\xa021,\xa01942\xa0(1942-08-21) (U.S.)[1]']",70 minutes,United States,English,$267.4 million[3],Supervising directorDavid HandSequence directorsJames AlgarSamuel ArmstrongGraham HeidBill RobertsPaul SatterfieldNorman Wright,Walt Disney,,"Bambi, a Life in the Woodsby Felix Salten",see below,Frank ChurchillEdward H. Plumb,RKO Radio Pictures,"$858,000[2]",Story directionPerce PearceStory adaptationLarry MoreyStory developmentVernon StallingsMelvin ShawCarl FallbergChuck CouchRalph Wright,,,,,
Saludos Amigos,Walt Disney Productions,"['August\xa024,\xa01942\xa0(1942-08-24) (World Premiere-Rio de Janeiro)', 'February\xa06,\xa01943\xa0(1943-02-06) (U.S. Premiere-Boston)', 'February\xa019,\xa01943\xa0(1943-02-19) (U.S.)[1]']",42 minutes,United States,"['English', 'Portuguese', 'Spanish']","$1,135,000 (worldwide rentals) [2]","['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,,,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,,
Victory Through Air Power,Walt Disney Productions,"['July\xa017,\xa01943\xa0(1943-07-17)']",65 min.,United States,English,"$799,000", Animated sequences: James Algar  Clyde Geronimi  Jack Kinney  de Seversky scenes:  H.C. Potter,Walt Disney,Story direction:  Perce Pearce  Story adaptation:  T. Hee  Erdman Penner Bill Cottrell  James Brodero   George Stallings  Jose Rodriguez,Victory Through Air Power by Maj. Alexander P. Seversky,Alexander de Seversky,Edward H. Plumb  Paul J. Smith  Oliver Wallace,United Artists,"$788,000",,Art Baker,Ray Rennahan,Jack Dennis,,
The Three Caballeros,Walt Disney Productions,"['December\xa021,\xa01944\xa0(1944-12-21) (Mexico City)', 'February\xa03,\xa01945\xa0(1945-02-03) (US)[1]']",71 minutes,United States,"['English', 'Spanish', 'Portuguese']","$3,355,000 (worldwide rentals) [2]","['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']",Walt Disney,,,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,,
